"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"ngvn","麵屋三郎 麵屋天明","日式","4.7","(83)","new-taipei-city"
"x8zx","吉野家 Yoshinoya (新北新莊輔大店)","日式","4.7","(3000+)","new-taipei-city"
"fcdb","稻這里輕食餐盒 (新北輔大店)","台式","4.7","(12)","new-taipei-city"
"ylly","MY POKE 買買波奇 夏威夷生魚飯 (輔大店)","健康餐","4.7","(1000+)","new-taipei-city"
"le4e","粥到鐵道便當","台式","4.7","(1000+)","new-taipei-city"
"rahe","新莊阿茶芋圓","甜點","4.7","(100+)","new-taipei-city"
"g4bj","香阿嬤鐵板炒飯","台式","4.6","(2000+)","new-taipei-city"
"ffzo","呷熊霸料理","台式","3.3","(36)","new-taipei-city"
"x6vb","韓聚食","韓式","4.5","(1000+)","new-taipei-city"
"kv6z","便當超市","台式","4.6","(100+)","new-taipei-city"
"loiu","玉津咖啡 (新莊輔大店)","甜點","5","(39)","new-taipei-city"
"tj75","家羿鵝肉、玉里麵專賣 （輔大店）","台式","4.7","(500+)","new-taipei-city"
"vb3x","劉家涼麵","台式","4.8","(100+)","new-taipei-city"
"d6ne","憶姿虹湯包 (新北新莊店)","台式","4.1","(1000+)","new-taipei-city"
"lhce","饞饞 燒肉丼飯·鍋物","台式","4.2","(100+)","new-taipei-city"
"ag7t","輔大豬排","台式","4.9","(500+)","new-taipei-city"
"llyu","少年董平價鐵板燒","中式","4.5","(500+)","new-taipei-city"
"o6yu","江子翠鵝肉油雞專賣店","台式","4.7","(2000+)","new-taipei-city"
"y5ir","SHARE KITCHEN 想初享廚","日式","4","(500+)","new-taipei-city"
"a7gk","I FRESH鮮果茶 (新北新莊輔大店)","飲料","4.8","(1000+)","new-taipei-city"
"drnu","芊苡號","日式","4.7","(100+)","new-taipei-city"
"h7xs","好餓","台式","4.8","(1000+)","new-taipei-city"
"m9ik","好風味-炒飯．便當．鹹酥雞．素食料理 (新北輔大店)","台式","4.7","(500+)","new-taipei-city"
"s0i5","好味手工麵疙瘩","台式","4.8","(1000+)","new-taipei-city"
"n627","夯麵坊","歐美","4.7","(500+)","new-taipei-city"
"r1xn","朝五晚九","健康餐","4.9","(100+)","new-taipei-city"
"s9lw","虎記涼麵","台式","4.8","(500+)","new-taipei-city"
"svjy","建福油飯","台式","4.8","(100+)","new-taipei-city"
"ww1a","滿足海鮮炒麵","台式","4.7","(100+)","new-taipei-city"
"x5vx","一鍋粥","台式","4.6","(1000+)","new-taipei-city"
"v42r","KING KONG金剛咖啡茶飲 (新莊建中店)","飲料","4.9","(100+)","new-taipei-city"
"nptq","享食Enjoy Food","歐美","5","(17)","new-taipei-city"
"a0iz","飲食堂熱炒","台式","4.7","(1000+)","new-taipei-city"
"d6we","阿英素食館","素食","4.8","(1000+)","new-taipei-city"
"n0uy","日初晨光","早餐","4.7","(100+)","new-taipei-city"
"ol28","Q將早午餐宵夜","台式","5","(40)","new-taipei-city"
"y8yf","中港牛肉麵","台式","4.8","(1000+)","new-taipei-city"
