"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"hwko","阿里郎韓式小館","韓式","4.4","(1000+)","taichung"
"y5dz","美村豆花","甜點","4.8","(5000+)","taichung"
"c9ey","飯捲王","韓式","4.9","(100+)","taichung"
"i6ly","大判燒 (草悟道店)","甜點","4.7","(1000+)","taichung"
"a2tj","野菜共合國","素食","3.8","(100+)","taichung"
"yjm0","不要對我尖叫 (台中新勤美店)","飲料","4.9","(98)","taichung"
"qakt","瑪露連 (台中健行店)","甜點","4.9","(100+)","taichung"
"g0br","六月青","飲料","4.9","(100+)","taichung"
"urvz","韓慕豆腐鍋外帶店 (原新光韓州)","韓式","4.3","(69)","taichung"
"w1qd","滿堂紅-台中店","台式","4.4","(96)","taichung"
"v4xg","玩麵PASTA (台中健行店)","歐美","4.7","(2000+)","taichung"
"pveh","MRS餃 麵食館","台式","4.6","(500+)","taichung"
"d5yx","古早飯堂","台式","4.7","(500+)","taichung"
"abal","沙拉嘿呦沙拉專賣","健康餐","4.7","(1000+)","taichung"
"atf3","龍華閣川味牛肉麵","中式","4.7","(100+)","taichung"
"k2oh","花便當","台式","4.7","(1000+)","taichung"
"eijb","媽媽包水煎包 l 素食高麗菜韭菜","素食","4.8","(27)","taichung"
"y7iw","厚樂咖啡Hold Love","歐美","4.7","(100+)","taichung"
"rkod","余木Coffee Stand","飲料","2.9","(33)","taichung"
"r7bh","緩茶 Slow Tea (勤美美村店)","飲料","3.1","(32)","taichung"
"hkkx","蘋饅工坊包子饅頭創意手做（英才店）","小吃","4.7","(100+)","taichung"
"f3kj","金色三麥 (台中勤美店)","歐美","4.6","(500+)","taichung"
"yrsv","泰宵張南洋咖哩","東南亞","3.6","(31)","taichung"
"ics0","優握握 X 酸奶大獅 (台中勤美店)","飲料","4.8","(500+)","taichung"
"jvzj","辛巴韓式鐵板蓋飯","韓式","4.7","(1000+)","taichung"
"sguh","Supreme Salmon美威鮭魚 (勤美綠園道店)","歐美","4.9","(44)","taichung"
"qekc","Magic Touch 点爭鮮 (台中勤美店) ","日式","4.4","(100+)","taichung"
"gojj","有飲 (台中勤美店)","飲料","4.9","(100+)","taichung"
"c0ok","約翰煮的","台式","4.8","(1000+)","taichung"
"v3fz","BVOFE COFFEE (台中中美店)","咖啡","4.9","(6)","taichung"
"y1fm","月之戀人Moon Lovers (台中公益店)","甜點","4.9","(100+)","taichung"
"paam","粳餅商行","台式","4.7","(100+)","taichung"
"qyex","丸本現煮鮮魚湯 原市政路鮮魚麵","台式","4.7","(100+)","taichung"
"d6ht","法芙妮","甜點","4.8","(2000+)","taichung"
"d7js","玩咖職人咖哩","日式","4.7","(100+)","taichung"
"y3vk","台北古早味米粉湯","台式","4.3","(100+)","taichung"
"te5r","抿茶 min cha (台中西屯店)","飲料","5","(35)","taichung"
"f4fn","BAC (台中勤美門市)","甜點","4.8","(100+)","taichung"
"gt9x","92度半咖啡 (台中中港號)","飲料","5","(52)","taichung"
"vp9j","牽拖 Tea & Coffee (台中美村店)","飲料","5","(42)","taichung"
"d7un","waka caf'e 瓦卡咖啡 (台中公益店)","咖啡","4.5","(100+)","taichung"
"djqv","三商巧福 (4325美村店)","台式","4.7","(100+)","taichung"
"y8qj","SUBWAY (美村店)","歐美","4.8","(3000+)","taichung"
"cti9","老董牛肉麵 (台中公益店)","台式","4.9","(100+)","taichung"
"c2n8","偷偷甜點 Toutou Cuisine","甜點","4.8","(100+)","taichung"
"z0ri","首學無刺虱目魚專賣店","台式","4.7","(3000+)","taichung"
"dc2n","富狀元豬腳","台式","4.8","(1000+)","taichung"
"lfcq","瘋仙草 (台中博館總店)","甜點","4.9","(48)","taichung"
"c1t6","Sami:卅麵","台式","5","(18)","taichung"
"o6c3","台灣BOLO (台中忠明店)","甜點","4.6","(30)","taichung"
"winw","魔法輕卡廚房xMagic Kitchen","健康餐","4.1","(37)","taichung"
"z0wu","胖妞大腸麵線＆香雞排專賣店","小吃","4.7","(1000+)","taichung"
"l5d7","煲大爺","中式","4.6","(13)","taichung"
"qojg","菜頭卿手工蘿蔔糕","小吃","4.4","(3)","taichung"
"y0xz","源士林粥品 (台中美村店)","台式","4.7","(5000+)","taichung"
"kmtn","林記廣東粥","中式","4.8","(100+)","taichung"
"mjq7","皇阿麻 青花椒燜雞 （西區1店）","中式","4.3","(94)","taichung"
"w4is","原礦家有機茶飲","飲料","4.9","(67)","taichung"
"a7em","餓 平價鐵板燒 (民權店)","台式","4.7","(4000+)","taichung"
"xj1l","小新贊新台式飲食","台式","4.8","(100+)","taichung"
"y3qw","涼食堂(手工涼皮涼麵麻辣湯品專賣店)","台式","4.7","(1000+)","taichung"
"xg1b","鬍子茶 (勤美旗艦店)","飲料","4","(37)","taichung"
"mtq7","百吉銅鑼燒","甜點","4.2","(5)","taichung"
"y0m5","葉小籠包","台式","4.4","(51)","taichung"
"l28j","光萃咖啡","咖啡","4.9","(100+)","taichung"
"uxqk","Shen poké夏威夷飯 沙拉輕食","健康餐","4.8","(100+)","taichung"
"y2lv","增聚發手作咖啡茶飲","素食","4.8","(100+)","taichung"
"cz45","東洲黑糖奶舖 (台中公益店)","飲料","4.7","(100+)","taichung"
"vucd","菁囍Double Like (台中美村店)","飲料","4.9","(100+)","taichung"
"zivu","食力小食堂 (日進店)","日式","4.9","(100+)","taichung"
"ylj8","n25 爾吾茶飲專門概念店 (台中勤美店)","飲料","4.9","(49)","taichung"
"dtce","醬心咖喱","日式","5","(6)","taichung"
"l01y","果核豆花鄉 (勤美公正店)","甜點","4.9","(35)","taichung"
"ilg7","精誠牛肉麵館","台式","4.9","(100+)","taichung"
"mchg","沙卡里巴 (台中梅亭店)","台式","4.5","(100+)","taichung"
"y9ay","呂記正宗岡山羊肉爐","台式","4.5","(1000+)","taichung"
"tw48","Hala Chicken (台中勤美店)","歐美","4.9","(100+)","taichung"
"q8sy","肥貓抓雞蛋糕 (台中勤美店)","甜點","4.7","(1000+)","taichung"
"rrp8","BVOFE COFFEE (勤美綠園道店)","飲料","4.9","(8)","taichung"
"tmbt","華暘香鵝肉飯專賣店 (台中總店)","台式","4.4","(1000+)","taichung"
"zm9m","貓奴甜點罐罐烘焙坊","甜點","4.8","(100+)","taichung"
"y1ar","四季鍋食","台式","4.7","(3000+)","taichung"
"a1eh","眷村味湘記麵館","台式","4.5","(1000+)","taichung"
"i0dq","蘇媽媽湯圓 (台中模範店)","台式","4.7","(1000+)","taichung"
"w6u4","dé day茶日","飲料","4.7","(100+)","taichung"
"z8rj","金禾食堂","日式","4.1","(81)","taichung"
"y7id","滷菩提蔬食(向上店)","素食","4.8","(4000+)","taichung"
"ydam","山裏山外 (精誠店)","甜點","4.9","(100+)","taichung"
"e8gu","二姑姑的店","甜點","4.9","(500+)","taichung"
"wrni","酥小潼肉夾饃","中式","4.7","(100+)","taichung"
"wg27","荳神綠豆沙 (台中向上店)","飲料","4.8","(100+)","taichung"
"gdlb","好客食堂","台式","4.8","(100+)","taichung"
"evsn","健行越南法國麵包","東南亞","5","(4)","taichung"
"zuef","蒔光&PokeBowl","健康餐","4.3","(35)","taichung"
"a2sg","吳記排骨酥&地瓜球","小吃","4.7","(100+)","taichung"
"qec4","日蝕美村店","飲料","4.7","(59)","taichung"
"p1tw","廣緣素食","素食","4.9","(1000+)","taichung"
"a8sw","三個寶養生麻油雞飯","台式","4.7","(2000+)","taichung"
"t3fs","發發 美村牧場","飲料","4.9","(24)","taichung"
"d2ls","輕輕 kinkin 健康餐盒","健康餐","4.8","(3000+)","taichung"
"sok7","中美街糖炒栗子","小吃","3.2","(5)","taichung"
"y1sq","台中洪師傅川味麵食館","台式","4.9","(100+)","taichung"
"sh57","太空船包子饅頭","小吃","4.9","(100+)","taichung"
"gwf0","豪品鐵板燒 (台中健行店)","台式","4.8","(100+)","taichung"
"fyxa","杏芳家","歐美","5","(9)","taichung"
"fy5c","英才黑輪攤","小吃","4.6","(500+)","taichung"
"s7jl","向上市場川寶甘蔗汁三十年老店","飲料","5","(5)","taichung"
"r5cg","好口味湯包 (台中精誠店)","中式","4.7","(1000+)","taichung"
"fhtm","芋仙圓","甜點","5","(2)","taichung"
"hhkr","二姐粉漿蛋餅","早餐","4.9","(16)","taichung"
"f1aj","王董牛肉麵","台式","4.6","(100+)","taichung"
"y0vt","老夫子牛排館 (台中精誠店)","台式","4.8","(1000+)","taichung"
"vfuw","波漾水果珍珠專賣店 精誠總店","飲料","4.8","(100+)","taichung"
"k5yo","鄧家巨無霸潤餅x炒飯","台式","4.7","(500+)","taichung"
"femk","諾米亞鐵板燒","台式","4.9","(100+)","taichung"
"brt7","稻稼祖傳韭菜盒子．傳統炸物 (向上創始店)","小吃","4.9","(91)","taichung"
"l9ep","泰香泰式奶茶","飲料","4.8","(100+)","taichung"
"y95q","品麵包 (台中向上店)","甜點","4.8","(500+)","taichung"
"j9ao","芋園家甜品屋","甜點","4.6","(500+)","taichung"
"ont6","匠人水餃工坊 (台中青海店) x 四海遊龍集團","台式","4.5","(64)","taichung"
"en3d","早皇后早午餐","早餐","5","(18)","taichung"
"x8uv","老阿太餐館","台式","4.5","(2000+)","taichung"
"x4zj","老牌珠麵店","台式","4.7","(4000+)","taichung"
"zwiq","老豆府麻辣火鍋＆白玉養生鍋","中式","4.8","(17)","taichung"
"sdbe","上上水餃 (台中總店)","台式","4.7","(1000+)","taichung"
"wrpg","一月初 良心健康餐盒販賣所 (台中西屯店)","健康餐","4.9","(100+)","taichung"
"y4pe","豆守綠豆沙專門店","飲料","4.8","(500+)","taichung"
"k6au","牛二哥麵攤","台式","4.7","(100+)","taichung"
"a5ud","舒粒珍飲攤","飲料","4.9","(1000+)","taichung"
"c2ao","小澄市 (台中精誠旗艦店)","飲料","4.9","(500+)","taichung"
"ir7s","G Colour 金色魔法紅茶 (台中漢口店)","飲料","4.8","(53)","taichung"
"y2gp","酒石拉麵 (台中民權店)","日式","4.8","(1000+)","taichung"
"kx90","炒麵炒麵","台式","4.9","(50)","taichung"
"dfui","職人麵工坊 (台中青海店) x 四海遊龍集團","台式","4.4","(76)","taichung"
"mu18","籽田｜法式甜點．烘焙．喫茶．咖啡","歐美","4.4","(13)","taichung"
"sc5v","甲哩欸碗粿","小吃","4.3","(100+)","taichung"
"mc1f","打鐵豆花 (台中精誠店)","甜點","4.9","(79)","taichung"
"y1li","翔美雪花冰 (台中英士店)","台式","4.9","(500+)","taichung"
"usax","果匯工坊 現切水果","甜點","5","(67)","taichung"
"y2lg","廣日炒麵爌肉飯","台式","4.6","(2000+)","taichung"
"nc3u","頂呱呱TKK (台中漢口店)","歐美","4.7","(500+)","taichung"
"b3ng","豪記鹿港肉包舖","小吃","4.8","(100+)","taichung"
"zp3r","宏佳火雞肉飯 (台中向上店)","台式","4.6","(2000+)","taichung"
"tn5b","廣真香炒麵爌肉飯","台式","4.6","(100+)","taichung"
"mccs","午食武士","素食","4.9","(75)","taichung"
"fxni","樂台羽茶 (西屯青海店)","飲料","4.9","(100+)","taichung"
"iv34","摩奇安娜早午餐咖啡館","台式","4.6","(500+)","taichung"
"z9xt","祖傳爌肉飯","台式","4.5","(5000+)","taichung"
"vp6n","煙燻甘蔗甕仔雞","台式","3.7","(100+)","taichung"
"pr81","小次男咖哩所 (審計店)","日式","4.6","(100+)","taichung"
"b9ju","老賴茶棧 (台中青海店)","飲料","4.8","(1000+)","taichung"
"ggpr","青海牛肉麵","台式","4.8","(100+)","taichung"
"lrgb","Mixigan美墨創意蔬食料理 (台中店)","素食","5","(17)","taichung"
"y6nr","布黎斯早午餐","早餐","4.7","(500+)","taichung"
"f2bb","祖傳天然茶飲 (西屯總店)","飲料","4.5","(100+)","taichung"
"z8cc","大胖肉羹 (台中青海店)","台式","4.8","(4000+)","taichung"
"z8ab","四季鹽館蔬食廚房","素食","4.9","(1000+)","taichung"
"o1as","蒜蒜鍋","台式","4.2","(500+)","taichung"
"g91e","宏福手工現擀水煎包","小吃","4.7","(100+)","taichung"
"ya7d","川婆婆川味料理","中式","3.4","(48)","taichung"
"i5dx","連豐盈養生甜品","甜點","4.6","(500+)","taichung"
"y3gn","哈里歐蔬食咖啡館","素食","4.6","(100+)","taichung"
"wpxl","華美越南美食","東南亞","4.7","(68)","taichung"
"besa","Enrich restaurant & cafe’","素食","4.6","(6)","taichung"
"a1rk","三口飯糰","日式","4.2","(500+)","taichung"
"nzmv","哥寶哈妮 (台中忠明店)","台式","4.7","(500+)","taichung"
"wsui","來個鍋","台式","4.6","(67)","taichung"
"ufep","玉膳堂牛肉麵","台式","4.7","(100+)","taichung"
"ecjo","精誠平價牛排","台式","5","(30)","taichung"
"dahg","妍品茶 (台中審計店)","飲料","4.8","(100+)","taichung"
"b81z","Eat's 低脂健康餐","健康餐","4.1","(100+)","taichung"
"rnej","八方餃子館","台式","4.6","(100+)","taichung"
"y0qg","YOURDAY悠家 鮮果特調茶飲專賣(台中大業店)","甜點","4.7","(1000+)","taichung"
"ictn","卡將食堂","日式","4","(100+)","taichung"
"lzd5","金甘丹手工麵線","小吃","4.8","(4)","taichung"
"f87d","鼎盛豬腳","台式","4.5","(100+)","taichung"
"kzbt","原鼎鍋燒","台式","4.5","(46)","taichung"
"uzkq","弄米手作飯捲 (台中梅川店)","台式","4.8","(500+)","taichung"
