"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"zodj","廟口勝鹽水雞（光明店）","小吃","4.8","(100+)","tainan"
"wzoh","自在軒 (台南東平店)","台式","4.9","(100+)","tainan"
"u5qk","夫妻肺片麻辣鍋 (台南東和店)","台式","4.6","(100+)","tainan"
"oiwb","嚥舐麻辣鴨血 (台南東安店)","中式","4.8","(100+)","tainan"
"x5os","大肥鴨料理店","台式","4.7","(1000+)","tainan"
"n1s4","鑫好味鍋燒意麵","台式","4.9","(6)","tainan"
"qwru","禾品鐵板燒","台式","4.7","(100+)","tainan"
"p3b2","呷義義大利麵館","歐美","4.6","(100+)","tainan"
"y4vq","老夫子咖哩屋","日式","4.8","(1000+)","tainan"
"mjrk","忠芯不餓鍋燒意麵","台式","4.8","(100+)","tainan"
"ac98","烏吉茶飲 (小東光明總店)","飲料","4.9","(100+)","tainan"
"z1qc","小董牛肉湯●爐 (台南民生店)","台式","4.3","(100+)","tainan"
"deig","微宵夜","台式","4.8","(100+)","tainan"
"o4kq","茶客棧光明店","飲料","5","(100+)","tainan"
"psdm","大福樂牛排 (台南東區店)","台式","4.6","(100+)","tainan"
"q7q6","美咪製麵所","台式","4.7","(100+)","tainan"
"q4ck","昌平炸雞王 (台南光明店)","歐美","4.8","(100+)","tainan"
"owl9","盛麗甘草芭樂 (台南中華店)","甜點","4.6","(11)","tainan"
"t5vn","向陽桔子","飲料","4.8","(1000+)","tainan"
"d8ek","哩賀雞蛋糕 (台南總店)","甜點","4.7","(500+)","tainan"
"wbee","小東門咖喱 (台南東興店)","日式","4.8","(500+)","tainan"
"s0we","雛菊見DAISY HOUSE (台南國賓店)","歐美","4.5","(16)","tainan"
"zxml","泫匞初·製魚所兵仔市","日式","3.9","(4)","tainan"
"z8gg","肯德基KFC炸雞漢堡店 (台南中華店)","歐美","4.7","(5000+)","tainan"
"m6ga","熊賀家平價熱炒","台式","4.2","(37)","tainan"
"agvl","3爺臭臭鍋","台式","4.6","(100+)","tainan"
"fxa1","熊好吃雞蛋糕","甜點","4.8","(100+)","tainan"
"uvgh","鮮汁霸果汁","飲料","4.9","(62)","tainan"
"aa2h","渴手作茶","飲料","3.9","(6)","tainan"
"wgk0","浜家咖哩屋","日式","4.3","(7)","tainan"
"ttau","哈胖high胖 (永康中華店)","台式","4.6","(100+)","tainan"
"k7jq","Double Cheese手工窯烤披薩 (台南成大店)","歐美","4.8","(100+)","tainan"
"ce0x","築間幸福鍋物 (台南中華店)","台式","4.6","(100+)","tainan"
"z887","Mini izzy小東店","咖啡","4.5","(20)","tainan"
"ty6b","易立低卡餐","健康餐","4.9","(500+)","tainan"
"fbxb","麻入口 鴨血臭豆腐排骨專賣（台南永康店）","小吃","4.8","(500+)","tainan"
"ag2s","珍愛找茶","飲料","4.7","(100+)","tainan"
"coha","五木炭土司","小吃","4.9","(500+)","tainan"
"uf8a","庫肯花園餐廳","歐美","4.5","(100+)","tainan"
"rzsr","想要吃食堂","中式","4.2","(63)","tainan"
"v8or","六記彰化肉圓","台式","4.6","(3000+)","tainan"
"zlz7","鑫帝元薑母鴨羊肉爐","中式","4.8","(30)","tainan"
"dk2d","鴛鴦蛋炒飯","台式","4.8","(500+)","tainan"
"ysdk","麥雅印度咖喱 Maiya Indian Curry Halal","異國","5","(7)","tainan"
"b1ot","豚將日本拉麵 (台南怡東店)","日式","4.7","(500+)","tainan"
"z6kr","來呷飯 川食堂 (台南成大店)","中式","4.8","(1000+)","tainan"
"x58d","百合穀室Buy a goods 酸奶水果撈 (台南東安店)","甜點","4.9","(100+)","tainan"
"t9ud","茶米茶中華二路店","飲料","4.9","(1000+)","tainan"
"ovnc","南園開動","台式","4.4","(500+)","tainan"
"eh5v","貝格緹烘焙","甜點","4.8","(83)","tainan"
"a2oz","富成麵食","台式","4.7","(1000+)","tainan"
"z7uc","大糖甜品(台南東安店)","甜點","4.7","(2000+)","tainan"
"b5f1","成大炒飯","台式","4.7","(100+)","tainan"
"z5bu","花覓手作茶藝","飲料","4.9","(2000+)","tainan"
"cgvi","潮味決．湯滷專門店 (永康中華分社)","台式","4.7","(500+)","tainan"
"hnfm","鴨寨夫人滷味","小吃","4.1","(3)","tainan"
"oa5u","夜甡人進","台式","4.8","(1000+)","tainan"
"gt09","巴比熊 廣東粥 (台南東寧店)","台式","4.9","(100+)","tainan"
"a0t0","鳳記鹽酥雞 (開元總店)","小吃","4.7","(1000+)","tainan"
"ko47","楽飲Loving (台南長榮店)","飲料","4.8","(84)","tainan"
"ya7t","台南蔡虱目魚專賣 (永康中華店)","台式","4.8","(100+)","tainan"
"h478","花茶大師 (台南成大店)","飲料","4.9","(40)","tainan"
"slhf","金旺港式臭豆腐煲","港式","4.9","(500+)","tainan"
"kdtr","KLG炸雞餐館 (台南長榮店)","歐美","4.4","(100+)","tainan"
"jth2","可口港式粥品","港式","4.4","(74)","tainan"
"nc77","娟姐牛肉湯","台式","4.8","(100+)","tainan"
"m8rb","香姑姑鹽酥雞","小吃","4.7","(100+)","tainan"
"u46u","巴特里精緻烘焙 (台南開元門市)","甜點","5","(52)","tainan"
"h2ni","北園東山鴨頭","小吃","4.5","(500+)","tainan"
"r7z7","點點心 (台南南紡店)","港式","4.8","(100+)","tainan"
"vxlj","福來鱔魚意麵 (台南開元店)","台式","4.7","(2000+)","tainan"
"i1q5","茶丸人日式專賣店 (台南中華店)","日式","4.5","(1000+)","tainan"
"jjzj","勝利早點","台式","4.8","(2000+)","tainan"
"o19v","賴媽食堂","台式","4.8","(100+)","tainan"
"figd","成大沙威瑪","異國","4.2","(100+)","tainan"
"n9md","勝博殿 (南紡店)","日式","4.7","(100+)","tainan"
"ukhy","仙鼎廣東粥 (台南育樂店)","中式","4.8","(100+)","tainan"
"ljs5","加依軒 (台南中華店)","中式","4.7","(100+)","tainan"
"z8iy","九州豚骨拉麵 (台南育樂店)","日式","4.5","(100+)","tainan"
"srp2","義式客棧","歐美","4.8","(500+)","tainan"
"zugm","錫多精品咖啡 (台南開元門市)","甜點","4.8","(100+)","tainan"
"psm8","幾分飽食堂","台式","4.7","(100+)","tainan"
"rti6","鴻牛牛肉湯 (台南東寧店)","台式","4.8","(83)","tainan"
"esfl","GODIVA (台南南紡店)","甜點","5","(25)","tainan"
"k406","吳記銅板價水煎包","小吃","3.7","(15)","tainan"
"zr12","狠愛希廚房","台式","2.8","(26)","tainan"
"v3oi","大上海鹹酥雞 (台南育樂店)","小吃","2.7","(100+)","tainan"
"a3bs","魔王狂爆雞排 (台南開元店)","小吃","4.6","(5000+)","tainan"
"l9ax","bb.q CHICKEN (南紡購物店)","韓式","4.6","(500+)","tainan"
"z5wj","阿弟水果8","健康餐","4.7","(1000+)","tainan"
"lhpy","巴久焗烤披薩","歐美","4.8","(4000+)","tainan"
"gz5j","8鍋小火鍋","台式","4.8","(63)","tainan"
"e2ck","COLD STONE (南紡店)","甜點","4.9","(100+)","tainan"
"l5xy","成大館 (台南育樂店)","台式","4.8","(4000+)","tainan"
"g78r","罵罵號mamahao炭烤玉米","小吃","4.7","(77)","tainan"
"y6on","富士達人日本拉麵 (台南東寧店)","日式","4.5","(100+)","tainan"
"ugkq","台南紅燒花枝羹 (開元總店)","台式","4.9","(61)","tainan"
"ne8b","花燒肉餐廳","日式","4.8","(100+)","tainan"
"b0zc","大戶屋 (南紡店)","日式","4.8","(500+)","tainan"
"l9o1","吃道飽韓風火烤兩吃","韓式","3.7","(100+)","tainan"
"z4gt","御鍋燒","台式","4.6","(2000+)","tainan"
"hrs7","天府麻辣乾鍋","中式","4.7","(500+)","tainan"
"f5op","頤真炸雞 (台南開元店)","小吃","4.8","(1000+)","tainan"
"f6gg","花見雞蛋仔","甜點","4.8","(1000+)","tainan"
"rsod","俠客鍋物-平價小火鍋","台式","4.4","(100+)","tainan"
"kdfd","鳳凰來手作炸雞屋","小吃","4.8","(100+)","tainan"
"gny2","QQ章魚燒","日式","4.1","(500+)","tainan"
"a9ss","CoCo 壹番屋咖哩 (南紡購物中心)","日式","4.7","(1000+)","tainan"
"vv5c","肉与炭串燒","小吃","4.3","(17)","tainan"
"z9n1","夯龍美虎","小吃","5","(1)","tainan"
"capg","佳玲越南小吃店","東南亞","4","(62)","tainan"
"gaev","洪城牛肉麵 (台南永康店)","台式","4.8","(500+)","tainan"
"gkgp","萬福羊肉海產","台式","4.8","(100+)","tainan"
"z6hq","派克雞排 (台南育樂店)","小吃","4.9","(3000+)","tainan"
"po6l","小河越南河粉","東南亞","4.8","(100+)","tainan"
"ytac","珍香台越小吃","東南亞","4.8","(1000+)","tainan"
"gsj4","潮麻吉 (永康中華店)","小吃","4.9","(1000+)","tainan"
"wq5k","炙丼家","日式","4.8","(100+)","tainan"
"bgwx","無飲 (台南一中店)","飲料","5","(46)","tainan"
"ofza","馳名烤豬 (台南夢時代店)","台式","4.6","(3)","tainan"
"b4sh","上味麵館 (台南永康店)","台式","4.7","(1000+)","tainan"
"x024","天心坊湯包 (台南東寧店)","台式","3","(35)","tainan"
"p7lb","大諾亞飲品BigNoah (台南勝利店)","飲料","4.7","(100+)","tainan"
"c9bj","有吉可樂-日式炸物咖哩丼飯定食","日式","4.8","(2000+)","tainan"
"xvuw","米屋烘焙坊 (台南育樂店)","甜點","4.5","(100+)","tainan"
"thzq","嚐享辣私房料理","中式","4.9","(500+)","tainan"
"ueoh","暟極鹽水雞","小吃","5","(25)","tainan"
"wxv3","黑皮麻辣關東煮","小吃","4.1","(16)","tainan"
"plqs","億忠刀切麵","台式","4.7","(1000+)","tainan"
"rb95","波斯優格Dr.NiK Persian Yogurt","甜點","4.9","(42)","tainan"
"e2ou","下林米糕 (台南永康店)","台式","4.7","(1000+)","tainan"
"dz9m","裕農路關東煮","台式","4.7","(500+)","tainan"
"tsff","獨角康妮茶癮","飲料","4.9","(1000+)","tainan"
"fcuy","古拉爵 (台南遠百店)","歐美","3.8","(3)","tainan"
"k4ns","大呼過癮 (台南成大店)","台式","4.8","(100+)","tainan"
"o9mz","台灣第一家鹹酥雞 (台南裕農店)","小吃","4.6","(3000+)","tainan"
"fypz","歐爺熱狗堡","歐美","4.8","(100+)","tainan"
"zvmh","尚之味火鍋","台式","4.6","(500+)","tainan"
"jst2","吉魚燒 日式甜點專賣（台南店）","日式","2.7","(23)","tainan"
"b7rw","天天臭豆腐","小吃","4.2","(100+)","tainan"
"jhbm","樸九鼎火鍋","台式","4.6","(100+)","tainan"
"c3mt","哈達客東山鴨頭 (台南裕農店)","小吃","4.9","(2000+)","tainan"
"kcpa","花太郎職人洋食","日式","4.9","(10)","tainan"
"p2zk","富農小吃店","台式","4.8","(5000+)","tainan"
"ivvz","台南關東煮香腸屋","小吃","4.8","(100+)","tainan"
"nseq","鍋燒意麵","中式","4.4","(100+)","tainan"
"kshp","脆皮船長","小吃","4.8","(91)","tainan"
"fuaf","碳酒醉酒肉朋友燒烤店","台式","4.7","(500+)","tainan"
"ohq5","茶行家","飲料","4.9","(1000+)","tainan"
"q3uq","金萬億鍋燒意麵","台式","4.8","(100+)","tainan"
"syd6","戰國火鍋","台式","4.8","(1000+)","tainan"
"z7lf","關老爺大腸麵線@台北甜不辣","小吃","4.8","(1000+)","tainan"
"v7cf","湯ㄚ","台式","4.8","(67)","tainan"
"xy9z","日吉町日式食堂","日式","4.7","(100+)","tainan"
"y9bo","韓咪達韓式料理 (台南店)","韓式","4.7","(1000+)","tainan"
"hu1r","曲肯叔叔美式炸雞 (台南永康店)","歐美","4.8","(100+)","tainan"
"kse8","小肥雞美式炸雞","歐美","4.7","(100+)","tainan"
"f9cs","咕嚕叫土司 (台南林森店)","台式","4.7","(5000+)","tainan"
"a3jy","品味榨菜肉絲麵","台式","4.6","(2000+)","tainan"
"y8xr","樺Hua廚房","台式","4.6","(1000+)","tainan"
"h3rk","國王來了 (台南裕農店)","飲料","4.9","(500+)","tainan"
"z1ka","阿龍食堂","台式","4.8","(1000+)","tainan"
"k2ed","羊億小炒","台式","4.8","(500+)","tainan"
"llrw","吾燕煮鍋燒","台式","4.8","(100+)","tainan"
"pz4r","兩隻老虎茶飲專賣","飲料","4.8","(100+)","tainan"
"ry46","77炸雞 (台南民族店)","韓式","4.7","(100+)","tainan"
"a9vj","哈多桑現炸熱狗專賣","歐美","4.9","(1000+)","tainan"
"xjj2","頂尖盒餐","台式","4.6","(86)","tainan"
"fg8c","杜芳子古味茶鋪 (台南公園店)","飲料","4.9","(500+)","tainan"
"z6ru","頂尖河粉","東南亞","4.6","(2000+)","tainan"
"abn4","大廚廣東粥","台式","4.9","(500+)","tainan"
"qoqk","芭米樂甘草芭樂/煎鳥蛋","甜點","4.8","(91)","tainan"
"yc36","蔥油餅尬啥","小吃","4.8","(100+)","tainan"
"gt0p","KLG炸雞 (台南東門店)","歐美","4.8","(100+)","tainan"
"m8n2","甘津奉茶 (南紡裕農店)","飲料","4.8","(100+)","tainan"
"q0aw","陳Q黑砂糖剉冰 (台南東門店)","甜點","4.8","(1000+)","tainan"
"jvhq","泰式幽靈串燒 (台南中華店)","東南亞","4.3","(18)","tainan"
"q6g3","炒麵不炒飯 (perfect darts店)","台式","4.8","(100+)","tainan"
