"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"z2tv","小吉咖哩 (台北八德店)","台式","4.8","(4000+)","taipei-city"
"e1hf","讚:美食pasta焗烤專賣店","歐美","4.6","(1000+)","taipei-city"
"y2yq","金金台式精緻料理","台式","4.7","(5000+)","taipei-city"
"ykcp","泰興 南洋料理","東南亞","4.4","(100+)","taipei-city"
"y7us","東區小賴甜不辣 (台北延吉店)","小吃","4.5","(100+)","taipei-city"
"e4cv","福膳輪早餐店","早餐","4.7","(1000+)","taipei-city"
"fxxe","英倫茶事 (台北松山店)","飲料","4.9","(500+)","taipei-city"
"yvuo","麗華行知名網紅推薦美食 雞排滷肉飯","台式","4.4","(100+)","taipei-city"
"r0mp","食吉健康餐盒便當","健康餐","4.5","(500+)","taipei-city"
"ael9","十分麵線","小吃","5","(24)","taipei-city"
"u6nx","大金排骨專賣店","台式","4.7","(500+)","taipei-city"
"gsqx","湘民小館","中式","4.7","(100+)","taipei-city"
"didj","猴子先生咖啡廳","台式","4.3","(2)","taipei-city"
"ifz5","美吉寶 (八德育達店) 早點晚點","早餐","4.9","(500+)","taipei-city"
"c8yk","馨城餐點","台式","4.8","(1000+)","taipei-city"
"wtts","How齊早午餐","早餐","4.7","(51)","taipei-city"
"f8xj","韓勾a韓式烤肉便當專賣店","韓式","4.7","(5000+)","taipei-city"
"o58q","東引快刀手","台式","4.7","(4000+)","taipei-city"
"iua2","雲鄉圓滇緬小吃","東南亞","5","(2)","taipei-city"
"f11e","想食鐵板燒","台式","5","(15)","taipei-city"
"cwai","尬意雞肉飯 X 無限廚房 (台北松山店)","台式","4.2","(100+)","taipei-city"
"ycdi","成都滿庭芳 川式料理","中式","4.7","(500+)","taipei-city"
"fo6v","WOW早午餐 輕食","早餐","4.8","(54)","taipei-city"
"xiqg","廣誠素食 (台北八德店)","素食","4.8","(500+)","taipei-city"
"g5rs","Burger Holic漢堡門徒 (台北小巨蛋店)","歐美","4.8","(34)","taipei-city"
"g6rp","亮鐵板燒","台式","4.6","(3000+)","taipei-city"
"b6of","蔥抓餅 (台北寧安店)","小吃","4.9","(500+)","taipei-city"
"l7tf","一帖茶方","飲料","4.9","(100+)","taipei-city"
"y5ih","中崙米粉湯","台式","4.6","(1000+)","taipei-city"
"y1gi","素食之家","素食","4.9","(1000+)","taipei-city"
"sq2u","七象泰式手作餐盒","東南亞","4.8","(100+)","taipei-city"
"k52l","楽坡 BON BOX (台北小巨蛋中崙店)","健康餐","4.9","(100+)","taipei-city"
"n0qs","享受X想瘦","日式","2","(1)","taipei-city"
"t0rb","呷飽早午餐","早餐","4.8","(1000+)","taipei-city"
"vwgs","錦院咖啡","咖啡","4.7","(100+)","taipei-city"
"y4qc","中崙牛排鐵板麵","台式","4.7","(4000+)","taipei-city"
"y1wh","醇滷味 (台北中崙店)","小吃","4.9","(100+)","taipei-city"
"p9l5","粥漁民粥品專賣店","台式","4.9","(18)","taipei-city"
"v3me","美義天手作美食坊(義大利麵)","歐美","4.8","(1000+)","taipei-city"
"y4nd","新明老爹牛肉麵","台式","4.5","(500+)","taipei-city"
"y7rr","鮮味屋韓式料理","韓式","4.4","(1000+)","taipei-city"
"k11m","Awake Coffee 覺醒咖啡","歐美","4.8","(100+)","taipei-city"
"zk3o","日十早午餐 (台北小巨蛋店)","早餐","4.7","(500+)","taipei-city"
"p9t1","蘆洲七號麵線 (小巨蛋店)","小吃","4.9","(100+)","taipei-city"
"p8lj","肉先生蔬菜健康盒 (台北八德店)","健康餐","4.7","(1000+)","taipei-city"
"rap6","臻蜜定食舖 (珍蜜二店)","台式","4.8","(100+)","taipei-city"
"q2ec","南京廣東粥","中式","4.8","(4000+)","taipei-city"
"q0ss","京川屋 (台北南京店)","台式","4.8","(500+)","taipei-city"
"rsx2","大王健康餐盒","健康餐","4.5","(51)","taipei-city"
"mzjz","呈信鵝肉 (台北松山店)","台式","4.7","(100+)","taipei-city"
"y0fr","潑辣涼麵","台式","4.8","(3000+)","taipei-city"
"y56z","賣的麵 (台北延吉店)","台式","4.7","(100+)","taipei-city"
"w8bp","萬芳冰室 (台北南京店)","港式","4.6","(1000+)","taipei-city"
"gehu","台灣G湯 (台北延吉店)","台式","4.8","(100+)","taipei-city"
"s3lv","米菲蔬食 (台北南京店)","素食","4.8","(1000+)","taipei-city"
"ngyq","無飲 (台北延吉店)","飲料","4.8","(100+)","taipei-city"
"rv5c","好餵早點早餐店","早餐","4.3","(13)","taipei-city"
